date,institution,category,complaint_count
2024-05-31,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-05-31,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-06-01,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,12
2024-06-01,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-01,JPMORGAN CHASE & CO.,Checking or savings account,12
2024-06-01,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-06-02,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-06-02,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-06-02,JPMORGAN CHASE & CO.,Checking or savings account,6
2024-06-02,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-06-03,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-06-03,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-03,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-06-03,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-06-04,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,19
2024-06-04,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-06-04,JPMORGAN CHASE & CO.,Checking or savings account,28
2024-06-04,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-06-05,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-06-05,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-06-05,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-06-05,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-06-06,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,12
2024-06-06,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-06,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-06-06,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-06-07,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-06-07,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-07,JPMORGAN CHASE & CO.,Checking or savings account,36
2024-06-07,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-06-08,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-06-08,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-08,JPMORGAN CHASE & CO.,Checking or savings account,19
2024-06-08,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-06-09,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,5
2024-06-09,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-09,JPMORGAN CHASE & CO.,Checking or savings account,6
2024-06-09,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-06-10,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-06-10,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-06-10,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-06-10,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-06-11,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-06-11,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-06-11,JPMORGAN CHASE & CO.,Checking or savings account,30
2024-06-11,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-06-12,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-06-12,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-06-12,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-06-12,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-06-13,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-06-13,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-06-13,JPMORGAN CHASE & CO.,Checking or savings account,20
2024-06-13,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-06-14,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-06-14,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-06-14,JPMORGAN CHASE & CO.,Checking or savings account,15
2024-06-14,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-06-15,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-06-15,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-06-15,JPMORGAN CHASE & CO.,Checking or savings account,4
2024-06-15,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-06-16,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,1
2024-06-16,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-06-16,JPMORGAN CHASE & CO.,Checking or savings account,8
2024-06-16,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-06-17,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-06-17,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-06-17,JPMORGAN CHASE & CO.,Checking or savings account,20
2024-06-17,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-06-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-06-18,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-18,JPMORGAN CHASE & CO.,Checking or savings account,28
2024-06-18,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-06-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-06-19,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-19,JPMORGAN CHASE & CO.,Checking or savings account,8
2024-06-19,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-06-20,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-06-20,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-06-20,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-06-20,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",9
2024-06-21,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-06-21,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",8
2024-06-21,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-06-21,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-06-22,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-06-22,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-06-22,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-06-22,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-06-23,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,2
2024-06-23,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-06-23,JPMORGAN CHASE & CO.,Checking or savings account,8
2024-06-23,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-06-24,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-06-24,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-06-24,JPMORGAN CHASE & CO.,Checking or savings account,25
2024-06-24,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-06-25,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,12
2024-06-25,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-06-25,JPMORGAN CHASE & CO.,Checking or savings account,29
2024-06-25,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-06-26,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-06-26,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-06-26,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-06-26,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-06-27,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-06-27,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-06-27,JPMORGAN CHASE & CO.,Checking or savings account,31
2024-06-27,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-06-28,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-06-28,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",7
2024-06-28,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-06-28,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-06-29,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-06-29,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-06-29,JPMORGAN CHASE & CO.,Checking or savings account,13
2024-06-29,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-06-30,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-06-30,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-06-30,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-06-30,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-07-01,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-07-01,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-01,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-07-01,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-02,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-07-02,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-07-02,JPMORGAN CHASE & CO.,Checking or savings account,33
2024-07-02,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-07-03,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,28
2024-07-03,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-07-03,JPMORGAN CHASE & CO.,Checking or savings account,20
2024-07-03,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-07-04,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4
2024-07-04,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-07-04,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-07-04,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-07-05,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-07-05,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-07-05,JPMORGAN CHASE & CO.,Checking or savings account,13
2024-07-05,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-06,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-07-06,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-06,JPMORGAN CHASE & CO.,Checking or savings account,10
2024-07-06,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-07,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4
2024-07-07,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-07-07,JPMORGAN CHASE & CO.,Checking or savings account,6
2024-07-07,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-07-08,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-07-08,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-07-08,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-07-08,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-09,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,21
2024-07-09,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-07-09,JPMORGAN CHASE & CO.,Checking or savings account,26
2024-07-09,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-07-10,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,24
2024-07-10,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-07-10,JPMORGAN CHASE & CO.,Checking or savings account,31
2024-07-10,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-07-11,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-07-11,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-07-11,JPMORGAN CHASE & CO.,Checking or savings account,26
2024-07-11,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-07-12,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-07-12,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-12,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-07-12,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-13,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-07-13,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-13,JPMORGAN CHASE & CO.,Checking or savings account,12
2024-07-13,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-07-14,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,5
2024-07-14,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-07-14,JPMORGAN CHASE & CO.,Checking or savings account,6
2024-07-14,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-07-15,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-07-15,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-15,JPMORGAN CHASE & CO.,Checking or savings account,26
2024-07-15,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-16,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-07-16,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-07-16,JPMORGAN CHASE & CO.,Checking or savings account,32
2024-07-16,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-07-17,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-07-17,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-07-17,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-07-17,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-07-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-07-18,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-18,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-07-18,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-07-19,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-07-19,JPMORGAN CHASE & CO.,Checking or savings account,15
2024-07-19,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-07-20,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9
2024-07-20,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-07-20,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-07-20,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-07-21,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-07-21,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-21,JPMORGAN CHASE & CO.,Checking or savings account,10
2024-07-21,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-07-22,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-07-22,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-07-22,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-07-22,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-23,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-07-23,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-07-23,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-07-23,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",11
2024-07-24,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-07-24,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-07-24,JPMORGAN CHASE & CO.,Checking or savings account,27
2024-07-24,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-07-25,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18
2024-07-25,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-07-25,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-07-25,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-26,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,13
2024-07-26,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-07-26,JPMORGAN CHASE & CO.,Checking or savings account,20
2024-07-26,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-07-27,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-07-27,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-27,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-07-27,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-07-28,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-07-28,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-28,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-07-28,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-07-29,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-07-29,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-07-29,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-07-29,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-07-30,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-07-30,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-07-30,JPMORGAN CHASE & CO.,Checking or savings account,20
2024-07-30,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-07-31,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,12
2024-07-31,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-07-31,JPMORGAN CHASE & CO.,Checking or savings account,20
2024-07-31,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-08-01,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-08-01,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-08-01,JPMORGAN CHASE & CO.,Checking or savings account,28
2024-08-01,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-08-02,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-08-02,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-08-02,JPMORGAN CHASE & CO.,Checking or savings account,25
2024-08-02,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-08-03,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,8
2024-08-03,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-08-03,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-08-03,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-08-04,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,6
2024-08-04,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-08-04,JPMORGAN CHASE & CO.,Checking or savings account,12
2024-08-04,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-08-05,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-08-05,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-08-05,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-08-05,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-08-06,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,24
2024-08-06,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-08-06,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-08-06,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-08-07,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-08-07,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-08-07,JPMORGAN CHASE & CO.,Checking or savings account,31
2024-08-07,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-08-08,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-08-08,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",7
2024-08-08,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-08-08,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-08-09,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,10
2024-08-09,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-08-09,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-08-09,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
2024-08-10,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-08-10,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-08-10,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-08-10,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-08-11,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7
2024-08-11,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-08-11,JPMORGAN CHASE & CO.,Checking or savings account,6
2024-08-11,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-08-12,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-08-12,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-08-12,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-08-12,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-08-13,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-08-13,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-08-13,JPMORGAN CHASE & CO.,Checking or savings account,34
2024-08-13,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-08-14,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,25
2024-08-14,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-08-14,JPMORGAN CHASE & CO.,Checking or savings account,29
2024-08-14,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",4
2024-08-15,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,26
2024-08-15,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",6
2024-08-15,JPMORGAN CHASE & CO.,Checking or savings account,24
2024-08-15,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-08-16,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,20
2024-08-16,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-08-16,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-08-16,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-08-17,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,6
2024-08-17,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-08-17,JPMORGAN CHASE & CO.,Checking or savings account,9
2024-08-17,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2
2024-08-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-08-18,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",1
2024-08-18,JPMORGAN CHASE & CO.,Checking or savings account,7
2024-08-18,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-08-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,14
2024-08-19,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-08-19,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-08-19,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-08-20,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-08-20,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-08-20,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-08-20,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",7
2024-08-21,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
